option_name,autoload,size_bytes,owner,active_owner,recommended_action,confidence,rollback,notes
redux_builder_amp-transients,auto,63,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
bmi_hotfixes,yes,62,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
cmplz_wsc_onboarding_status,off,62,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
jetpack_connection_active_plugins,yes,61,jetpack,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_a1f24,no,61,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_search,yes,59,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_meta,yes,59,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
yit_recently_activated,yes,59,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
litespeed.avatar._summary,yes,59,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
litespeed.ucss._summary,yes,59,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
litespeed.placeholder._summary,yes,59,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_irb_h_bn_review,yes,58,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
updraft_include_others_exclude,yes,58,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wpmudev_analytics_forminator_data,auto,58,forminator,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wt_iew_admin_modules,auto,58,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
um_hidden_admin_notices,auto,58,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wcpa_active_design,auto,58,woo-custom-product-addons,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
updraft_lastmessage,on,56,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
extcsv_settings,yes,56,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
w3tc_minify_a5ff7,no,56,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
pum_privacy_cookie_list,yes,55,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wpseo_ryte,yes,55,wordpress-seo,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
tenweb_requests_block,no,54,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
litespeed.conf.cdn-attr,yes,54,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
elementor_cpt_support,yes,54,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
litespeed.conf.optm-js_defer_exc,yes,53,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_site_transient_wp_theme_files_patterns-6488e18658dd44131a46a7d231007c00,off,53,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
_site_transient_wp_theme_files_patterns-349245c4203ac479fa6be97651ac8db7,off,53,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_delete_inactive_accounts,no,50,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_anonymize_completed_orders,no,50,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
litespeed.preset._summary,yes,50,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wp_mail_smtp_review_notice,yes,50,wp-mail-smtp,no,BLOCKED,medium,Restore from app/sql/local.sql,
wp_mail_logging_user_feedback_notice,auto,50,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
woocommerce_anonymize_refunded_orders,off,50,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_trash_pending_orders,no,48,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_trash_failed_orders,no,48,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_trash_cancelled_orders,no,48,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
berocket_admin_notices_rate_stars,yes,47,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
cmplz_detected_thirdparty_services,auto,47,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_transient_jetpack_autoloader_plugin_paths,on,47,jetpack,no,PURGE-CANDIDATE,high,Restore from app/sql/local.sql,
litespeed.conf.object-non_persistent_groups,yes,46,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
a8c_developer,yes,45,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
updraft_include_uploads_exclude,yes,45,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
litespeed.gui._summary,yes,45,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
elementor_pro_license_key,yes,45,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wp-smush-resize_sizes,auto,45,wp-smushit,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woof_alert,no,44,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
wp_mail_smtp_mail_key,yes,44,wp-mail-smtp,no,BLOCKED,medium,Restore from app/sql/local.sql,
allowed_astra_notices,auto,44,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
cmplz_detected_social_media,auto,43,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
cmplz_privacy-statement_custom_page_url,auto,43,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
ilcc_policy_url,on,43,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
wpmudev_analytics_smush_json_data,yes,43,wp-smushit,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
forminator_appearance_presets,yes,42,forminator,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
ampforwp_plugin_info,auto,42,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
like_box_sidebar_slide_title_font_famely,yes,41,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
like_box_popup_title_font_famely,yes,41,popup-maker,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
jetpack_updates_sync_checksum,yes,41,jetpack,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_text,yes,40,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_rss,yes,40,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
BeRocket_Framework_plugins_version_check,yes,40,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_31bfb,no,40,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
rank_math_yoast_block_posts,off,40,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
rank_math_aioseo_block_posts,off,40,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
_iwo_price_lowest_message_short,yes,39,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
w3tc_minify_02e7f,no,39,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
litespeed.health._summary,yes,39,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
easypack_button_output,yes,39,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_admin_notices,yes,38,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
jetpack_package_versions,yes,38,jetpack,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
limit_login_lockouts,no,38,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
w3tc_minify_8d2a7,no,38,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
theme_mods_uncode,no,37,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
BeRocket_aapf_additional_tables_addon_position_data,auto,37,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_pos_store_address,on,37,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
duplicate_post_types_enabled,yes,36,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
_iwo_price_lowest_message,yes,36,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
woocommerce_store_id,yes,36,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
nav_menu_options,off,35,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
_iwo_price_lowest_message_no_data,yes,35,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
w3tc_minify_76d15,no,35,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
user_registration_admin_notices,auto,35,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
action_scheduler_lock_async-request-runner,yes,34,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
pum_completed_upgrades,yes,34,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
__ultimatemember_sitekey,auto,34,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
cmplz_detected_stats,auto,34,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wp_smush_background_pre_flight,off,34,wp-smushit,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
litespeed.conf.esi-nonce,yes,33,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
blogname,on,32,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_maybe_regenerate_images_hash,yes,32,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
updraftplus-addons_siteid,no,32,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wc_facebook_feed_url_secret,yes,32,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
tenweb_plugins_state_hash,yes,32,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
tenweb_themes_state_hash,yes,32,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
tenweb_addons_state_hash,yes,32,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
tenweb_site_state_hash,yes,32,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
litespeed.conf.hash,yes,32,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
litespeed.conf.api_key,yes,32,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
elementor_connect_site_key,yes,32,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wcpay_session_store_id,yes,32,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
gla_claimed_url_hash,yes,32,google-listings-and-ads,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
bvApiPublic,no,32,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
woocommerce_share_key,yes,32,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
cmplz_impressum_custom_page_url,auto,32,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
astra-blocks-batch-status-string,off,32,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
_elementor_element_cache_unique_id,auto,32,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wpae_config_version,off,32,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
yoast_migrations_free,yes,31,wordpress-seo,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
license_key_token,yes,31,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
litespeed.conf.cache-drop_qs,yes,31,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
berocket_aapf_filters_setup_wizard_list,yes,31,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_pages,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_calendar,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_media_audio,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_media_image,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_media_gallery,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_media_video,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_apsl_widget,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_piko_flickr_widget,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_custom_newsletter,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_custom_companyinfo,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_latest_tweets_widget,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_pikoworks_widget_brands,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_rev-slider-widget,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_woocommerce_widget_cart,yes,30,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_woocommerce_layered_nav_filters,yes,30,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_woocommerce_layered_nav,yes,30,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_woocommerce_product_search,yes,30,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_woocommerce_product_tag_cloud,yes,30,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_woocommerce_recent_reviews,yes,30,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_woocommerce_rating_filter,yes,30,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_mc4wp_form_widget,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_yith-woo-ajax-navigation,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_yith-woo-ajax-reset-navigation,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_yith-woo-ajax-navigation-sort-by,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_yith-woo-ajax-navigation-stock-on-sale,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_yith-woo-ajax-navigation-list-price-filter,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_yith-woocompare-widget,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_like_box_facbook,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_wpsr_follow_icons_widget,yes,30,wp-reviews-google,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_wpsr_facebook_widget,yes,30,wp-reviews-google,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_wpsr_twitter_widget,yes,30,wp-reviews-google,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_glt_widget,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_wpsr_pinterest_widget,yes,30,wp-reviews-google,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_monsterinsights-popular-posts-widget,yes,30,monsterinsights,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_elementor-library,yes,30,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_woof_widget,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_berocket_aapf_group,yes,30,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_berocket_aapf_single,yes,30,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_forminator_widget,yes,30,forminator,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_currency_switcher_widget,yes,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
przelewy24_common_settings,yes,30,imoje,yes,KEEP,high,Restore from app/sql/local.sql,
wp_mail_smtp_activated,yes,30,wp-mail-smtp,no,BLOCKED,medium,Restore from app/sql/local.sql,
widget_um_search_widget,auto,30,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_theme-my-login,auto,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_ampforwp_woo_widget,auto,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_ampforwp_amp_code_widget,auto,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_instagram-feed-widget,auto,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_yith-woocommerce-ajax-navigation-filters,auto,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_wc_brands_brand_description,auto,30,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_woocommerce_brand_nav,auto,30,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_wc_brands_brand_thumbnails,auto,30,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_simpletags,auto,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_simpletags-shortcode,auto,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_simpletags-posttags,auto,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
widget_simpletags-relatedposts,auto,30,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
wpforms_activated,auto,30,wpforms,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
widget_wpforms-widget,auto,30,wpforms,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
easypack_api_url,yes,29,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
googlelanguagetranslator_flags_order,yes,29,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
litespeed.conf.optm-js_exc,yes,29,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
limit_login_trusted_ip_origins,yes,29,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
woocommerce_email_footer_text,off,28,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
yith_wcwl_already_in_wishlist_text,yes,28,yith-woocommerce-wishlist,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
updraft_onedrive,yes,28,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
updraft_azure,yes,28,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
updraft_sftp,yes,28,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
updraft_googlecloud,yes,28,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
updraft_backblaze,yes,28,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
updraft_webdav,yes,28,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
updraft_pcloud,yes,28,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
litespeed.conf.cdn-ori_dir,yes,28,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_task_list_tracked_completed_actions,yes,28,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
user_registration_general_setting_disabled_user_roles,auto,28,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
um_core_directories,auto,28,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
forminator_activated_addons,auto,28,forminator,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
ping_sites,yes,27,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
woocommerce_myaccount_set_default_payment_method_endpoint,yes,26,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_iwo_price_lowest_where,yes,26,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
um_existing_rows_23032,auto,26,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
um_existing_rows_23031,auto,26,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
um_existing_rows_23033,auto,26,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
taxopress_deactivated_taxonomies,auto,26,taxopress,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_pos_store_name,on,26,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_task_list_completed_lists,yes,25,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
sa_sm_man_hours_saved,auto,25,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
optml_csat,auto,25,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
wpai_modal_review_dismissed_modals,auto,25,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
wc_facebook_external_business_id,yes,24,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
wcpay_exit_survey_last_shown,yes,24,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
sa_sm_records_updated,auto,24,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
yith_wcwl_browse_wishlist_text,yes,23,yith-woocommerce-wishlist,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
litespeed.conf.cdn-ori,yes,23,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
jetpack_sync_settings_comment_meta_whitelist,yes,23,jetpack,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
cky_connect_expand,yes,23,cookie-law-info,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
ivole_license_status,off,23,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
siteurl,yes,22,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
home,yes,22,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
yith_wcwl_add_to_wishlist_text,yes,22,yith-woocommerce-wishlist,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_task_list_hidden_lists,yes,22,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
litespeed.conf.cache-ttl_status,yes,22,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
ossdl_off_include_dirs,yes,22,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
googlesitekit_connected_proxy_url,auto,22,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
astra-sites-batch-status-string,off,22,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
woocommerce_store_address,yes,21,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_myaccount_delete_payment_method_endpoint,yes,21,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
ossdl_off_blog_url,yes,21,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
ossdl_off_cdn_url,yes,21,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
admin_email,yes,20,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_stock_email_recipient,no,20,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
wcpay_multi_currency_stored_customer_currencies,yes,20,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
new_admin_email,yes,20,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
optml_current_domain,auto,20,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
stylesheet,yes,19,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
current_theme,yes,19,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
xtocky-update-info,yes,19,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
woocommerce_specific_allowed_countries,yes,19,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_email_from_address,no,19,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
yith_wcwl_socials_title,yes,19,yith-woocommerce-wishlist,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
pum_installed_on,yes,19,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
pum_reviews_installed_on,yes,19,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
easypack_dispatch_point_email,yes,19,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
easypack_sender_company_name,yes,19,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
updraftplus_last_lock_time_fd,no,19,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
updraftplus_last_lock_time_d,no,19,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
litespeed.conf.media-lazy_cls_exc,yes,19,litespeed-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
user_registration_users_listing_viewed,auto,19,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
sm_lite_activation_date,auto,19,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
_sm_update_418_date,auto,19,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
plugin_activation_dropshipping-xml-for-woocommerce/dropshipping-xml-for-woocommerce.php,auto,19,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
taxopress_reviews_installed_on,auto,19,taxopress,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
astra_sites_wpforms_ids_mapping,off,19,wpforms,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_pos_store_email,on,19,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
updraftplus_last_lock_time_f,no,19,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_myaccount_add_payment_method_endpoint,yes,18,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
yith_woocompare_table_text,yes,18,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
mailserver_login,yes,17,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
yith_wcwl_loop_position,yes,17,yith-woocommerce-wishlist,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
like_box_sidebar_slide_profile_id,yes,17,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
like_box_popup_title,yes,17,popup-maker,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
googlelanguagetranslator_floating_widget_text,yes,17,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
wc_facebook_instagram_business_id,yes,17,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
surecart_source,off,17,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
mailserver_url,yes,16,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
yith_wcwl_add_to_cart_text,yes,16,yith-woocommerce-wishlist,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
yith_wcwl_add_to_cart_icon,yes,16,yith-woocommerce-wishlist,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wc_facebook_ad_account_id,yes,16,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
forminator_submissions_form_type,yes,16,forminator,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_myaccount_payment_methods_endpoint,yes,15,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_logout_endpoint,yes,15,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
yith-wcqv-button-label,yes,15,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
yith_wcwl_product_added_text,yes,15,yith-woocommerce-wishlist,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
googlelanguagetranslator_portuguese_flag_choice,yes,15,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
wc_facebook_system_user_id,yes,15,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
